File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"ai, sql"
Arman.docx,arman@gmail.com,"ai, sql, ml"
arman.txt,arman@gmail.com,"ai, sql"
bhuvan.docx,bhuvan@gmail.com,"ai, sql, ml"
bhuvan.pdf,bhuvan@gmail.com,"ai, sql, ml"
bhuvan.txt,bhuvan@gmail.com,"ai, sql, ml"
emily.docx,johndoe@email.com,"ai, sql"
emily.pdf,johndoe@email.com,"ai, sql"
emily.txt,johndoe@gmail.com,"ai, sql"
hasley.docx,johndoe@email.com,"ai, sql, ml"
hasley.pdf,johndoe@email.com,"ai, sql, ml"
hasley.txt,johndoe@gmail.com,"ai, sql, ml"
john smith.pdf,john.smith@email.com,"ai, sql"
john smith.txt,john.smith@gmail.com,"ai, sql"
johnny.pdf,johndoe@email.com,"ai, sql"
johnny.txt.txt,johndoe@email.com,"ai, sql"
Rohan.pdf,gaurav@gmail.com,"ai, sql, ml"
rohan.txt,gaurav@gmail.com,"ai, sql, ml"
rohit.txt,gaurav@gmail.com,"ai, ml"
snoop dogg.txt,johndoe@email.com,"ai, sql"
tupac.txt,johndoe@email.com,"ai, sql"
yash.txt,john.smith@email.com,"ai, sql, ml"
