File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"ai, python, sql"
Arman.docx,arman@gmail.com,"ai, ml, python, sql"
arman.txt,arman@gmail.com,"ai, python, sql"
bhuvan.docx,bhuvan@gmail.com,"ai, ml, python, sql"
bhuvan.pdf,bhuvan@gmail.com,"ai, ml, sql"
bhuvan.txt,bhuvan@gmail.com,"ai, ml, sql"
emily.docx,johndoe@email.com,"ai, python, sql"
emily.pdf,johndoe@email.com,"ai, python, sql"
emily.txt,johndoe@gmail.com,"ai, python, sql"
hasley.docx,johndoe@email.com,"ai, ml, python, sql"
hasley.pdf,johndoe@email.com,"ai, ml, python, sql"
hasley.txt,johndoe@gmail.com,"ai, ml, python, sql"
john smith.pdf,john.smith@email.com,"ai, python, sql"
john smith.txt,john.smith@gmail.com,"ai, python, sql"
johnny.pdf,johndoe@email.com,"ai, python, sql"
johnny.txt.txt,johndoe@email.com,"ai, python, sql"
Rohan.pdf,gaurav@gmail.com,"ai, ml, sql"
rohan.txt,gaurav@gmail.com,"ai, ml, sql"
rohit.txt,gaurav@gmail.com,"ai, ml, python"
snoop dogg.txt,johndoe@email.com,"ai, python, sql"
tupac.txt,johndoe@email.com,"ai, python, sql"
yash.txt,john.smith@email.com,"ai, ml, python, sql"
