File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"java, sql, ai, r, leadership, python, ds"
Arman.docx,arman@gmail.com,"java, ml, sql, ai, r, leadership, python, hadoop, ds"
arman.txt,arman@gmail.com,"java, sql, ai, r, leadership, python, ds"
bhuvan.docx,bhuvan@gmail.com,"java, ml, sql, ai, r, leadership, python, hadoop, ds"
bhuvan.pdf,bhuvan@gmail.com,"ml, sql, ai, r, leadership, hadoop, ds"
bhuvan.txt,bhuvan@gmail.com,"ml, sql, ai, r, leadership, hadoop, ds"
emily.docx,johndoe@email.com,"java, ml, sql, ai, r, python"
emily.pdf,johndoe@email.com,"java, ml, sql, ai, r, python"
emily.txt,johndoe@gmail.com,"java, ml, sql, ai, r, python"
hasley.docx,johndoe@email.com,"java, ml, sql, ai, r, python"
hasley.pdf,johndoe@email.com,"java, ml, sql, ai, r, python"
hasley.txt,johndoe@gmail.com,"java, ml, sql, ai, r, python"
john smith.pdf,john.smith@email.com,"java, sql, ai, r, python"
john smith.txt,john.smith@gmail.com,"java, sql, ai, r, python"
johnny.pdf,johndoe@email.com,"ml, sql, ai, r, python, ds"
johnny.txt.txt,johndoe@email.com,"ml, sql, ai, r, python, ds"
Rohan.pdf,gaurav@gmail.com,"ml, sql, ai, r, leadership, hadoop, ds"
rohan.txt,gaurav@gmail.com,"ml, sql, ai, r, leadership, hadoop, ds"
rohit.txt,gaurav@gmail.com,"ml, ai, r, leadership, python, ds"
snoop dogg.txt,johndoe@email.com,"java, ml, sql, ai, r, python"
tupac.txt,johndoe@email.com,"java, ml, sql, ai, r, python"
yash.txt,john.smith@email.com,"java, ml, sql, ai, r, python"
