File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"ds, python, sql, leadership, ai, r, java"
Arman.docx,arman@gmail.com,"ds, python, sql, leadership, ml, hadoop, ai, r, java"
arman.txt,arman@gmail.com,"ds, python, sql, leadership, ai, r, java"
bhuvan.docx,bhuvan@gmail.com,"ds, python, sql, leadership, ml, hadoop, ai, r, java"
bhuvan.pdf,bhuvan@gmail.com,"ds, sql, leadership, ml, hadoop, ai, r"
bhuvan.txt,bhuvan@gmail.com,"ds, sql, leadership, ml, hadoop, ai, r"
emily.docx,johndoe@email.com,"python, sql, ml, ai, r, java"
emily.pdf,johndoe@email.com,"python, sql, ml, ai, r, java"
emily.txt,johndoe@gmail.com,"python, sql, ml, ai, r, java"
hasley.docx,johndoe@email.com,"python, sql, ml, ai, r, java"
hasley.pdf,johndoe@email.com,"python, sql, ml, ai, r, java"
hasley.txt,johndoe@gmail.com,"python, sql, ml, ai, r, java"
john smith.pdf,john.smith@email.com,"sql, python, ai, r, java"
john smith.txt,john.smith@gmail.com,"sql, python, ai, r, java"
johnny.pdf,johndoe@email.com,"ds, python, sql, ml, ai, r"
johnny.txt.txt,johndoe@email.com,"ds, python, sql, ml, ai, r"
Rohan.pdf,gaurav@gmail.com,"ds, sql, leadership, ml, hadoop, ai, r"
rohan.txt,gaurav@gmail.com,"ds, sql, leadership, ml, hadoop, ai, r"
rohit.txt,gaurav@gmail.com,"ds, python, leadership, ml, ai, r"
snoop dogg.txt,johndoe@email.com,"python, sql, ml, ai, r, java"
tupac.txt,johndoe@email.com,"python, sql, ml, ai, r, java"
yash.txt,john.smith@email.com,"python, sql, ml, ai, r, java"
