File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"sql, leadership"
Arman.docx,arman@gmail.com,"ml, sql, leadership"
arman.txt,arman@gmail.com,"sql, leadership"
bhuvan.docx,bhuvan@gmail.com,"ml, sql, leadership"
bhuvan.pdf,bhuvan@gmail.com,"ml, sql, leadership"
bhuvan.txt,bhuvan@gmail.com,"ml, sql, leadership"
hasley.docx,johndoe@email.com,"ml, sql"
hasley.pdf,johndoe@email.com,"ml, sql"
hasley.txt,johndoe@gmail.com,"ml, sql"
Rohan.pdf,gaurav@gmail.com,"ml, sql, leadership"
rohan.txt,gaurav@gmail.com,"ml, sql, leadership"
rohit.txt,gaurav@gmail.com,"ml, leadership"
yash.txt,john.smith@email.com,"ml, sql"
