File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"ai, sql"
Arman.docx,arman@gmail.com,"ai, sql"
arman.txt,arman@gmail.com,"ai, sql"
bhuvan.docx,bhuvan@gmail.com,"ai, sql"
bhuvan.pdf,bhuvan@gmail.com,"ai, sql"
bhuvan.txt,bhuvan@gmail.com,"ai, sql"
emily.docx,johndoe@email.com,"ai, sql"
emily.pdf,johndoe@email.com,"ai, sql"
emily.txt,johndoe@gmail.com,"ai, sql"
hasley.docx,johndoe@email.com,"ai, sql"
hasley.pdf,johndoe@email.com,"ai, sql"
hasley.txt,johndoe@gmail.com,"ai, sql"
john smith.pdf,john.smith@email.com,"ai, sql"
john smith.txt,john.smith@gmail.com,"ai, sql"
johnny.pdf,johndoe@email.com,"ai, sql"
johnny.txt.txt,johndoe@email.com,"ai, sql"
Rohan.pdf,gaurav@gmail.com,"ai, sql"
rohan.txt,gaurav@gmail.com,"ai, sql"
rohit.txt,gaurav@gmail.com,ai
snoop dogg.txt,johndoe@email.com,"ai, sql"
tupac.txt,johndoe@email.com,"ai, sql"
yash.txt,john.smith@email.com,"ai, sql"
