File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"ai, sql, python"
Arman.docx,arman@gmail.com,"ai, sql, python"
arman.txt,arman@gmail.com,"ai, sql, python"
bhuvan.docx,bhuvan@gmail.com,"ai, sql, python"
emily.docx,johndoe@email.com,"ai, sql, python"
emily.pdf,johndoe@email.com,"ai, sql, python"
emily.txt,johndoe@gmail.com,"ai, sql, python"
hasley.docx,johndoe@email.com,"ai, sql, python"
hasley.pdf,johndoe@email.com,"ai, sql, python"
hasley.txt,johndoe@gmail.com,"ai, sql, python"
john smith.pdf,john.smith@email.com,"ai, sql, python"
john smith.txt,john.smith@gmail.com,"ai, sql, python"
johnny.pdf,johndoe@email.com,"ai, sql, python"
johnny.txt.txt,johndoe@email.com,"ai, sql, python"
snoop dogg.txt,johndoe@email.com,"ai, sql, python"
tupac.txt,johndoe@email.com,"ai, sql, python"
yash.txt,john.smith@email.com,"ai, sql, python"
