File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"sql, python"
Arman.docx,arman@gmail.com,"ml, sql, python"
arman.txt,arman@gmail.com,"sql, python"
bhuvan.docx,bhuvan@gmail.com,"ml, sql, python"
bhuvan.pdf,bhuvan@gmail.com,"ml, sql"
bhuvan.txt,bhuvan@gmail.com,"ml, sql"
emily.docx,johndoe@email.com,"sql, python"
emily.pdf,johndoe@email.com,"sql, python"
emily.txt,johndoe@gmail.com,"sql, python"
hasley.docx,johndoe@email.com,"ml, sql, python"
hasley.pdf,johndoe@email.com,"ml, sql, python"
hasley.txt,johndoe@gmail.com,"ml, sql, python"
john smith.pdf,john.smith@email.com,"sql, python"
john smith.txt,john.smith@gmail.com,"sql, python"
johnny.pdf,johndoe@email.com,"sql, python"
johnny.txt.txt,johndoe@email.com,"sql, python"
Rohan.pdf,gaurav@gmail.com,"ml, sql"
rohan.txt,gaurav@gmail.com,"ml, sql"
rohit.txt,gaurav@gmail.com,"ml, python"
snoop dogg.txt,johndoe@email.com,"sql, python"
tupac.txt,johndoe@email.com,"sql, python"
yash.txt,john.smith@email.com,"ml, sql, python"
