File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,ai
Arman.docx,arman@gmail.com,"ai, ml"
arman.txt,arman@gmail.com,ai
bhuvan.docx,bhuvan@gmail.com,"ai, ml"
bhuvan.pdf,bhuvan@gmail.com,"ai, ml"
bhuvan.txt,bhuvan@gmail.com,"ai, ml"
emily.docx,johndoe@email.com,ai
emily.pdf,johndoe@email.com,ai
emily.txt,johndoe@gmail.com,ai
hasley.docx,johndoe@email.com,"ai, ml"
hasley.pdf,johndoe@email.com,"ai, ml"
hasley.txt,johndoe@gmail.com,"ai, ml"
john smith.pdf,john.smith@email.com,ai
john smith.txt,john.smith@gmail.com,ai
johnny.pdf,johndoe@email.com,ai
johnny.txt.txt,johndoe@email.com,ai
Rohan.pdf,gaurav@gmail.com,"ai, ml"
rohan.txt,gaurav@gmail.com,"ai, ml"
rohit.txt,gaurav@gmail.com,"ai, ml"
snoop dogg.txt,johndoe@email.com,ai
tupac.txt,johndoe@email.com,ai
yash.txt,john.smith@email.com,"ai, ml"
